Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Damian Lillard,34,MIL,PG,3,3,75,6.7,0.349,0.593,0.259,1.4,11.5,6.1,25.5,1.3,2.6,9.1,19.5,-0.1,0,-0.1,-0.058,-4.8,-2,-6.8,-0.1,
Brook Lopez,36,MIL,C,5,4,74,8.8,0.517,0.682,0.227,4.4,8.3,6.2,7.7,0.7,6.5,14.2,16.9,0,0,0,0.01,-3.8,0.2,-3.6,0,
Kel'el Ware,20,MIA,C,4,4,73,11.9,0.528,0.611,0,6.1,26.3,15.5,8.5,0.7,3.1,10,12.7,0,-0.1,-0.1,-0.044,-0.4,-0.5,-0.8,0,
Gui Santos,22,GSW,PF,10,0,72,12.7,0.662,0.588,0.353,4.5,15,9.5,17.3,2.1,1.3,23.4,15.7,0.1,0.1,0.1,0.097,-1.6,2,0.4,0,
Jonathan Isaac,27,ORL,PF,5,0,69,12.3,0.634,0.333,0.417,7.8,9.4,8.5,4.5,1.5,1.5,12.3,10.7,0.1,0,0.1,0.08,-1.1,1.2,0.1,0,
John Konchar,28,MEM,SG,4,0,69,8.3,0.511,0.667,0.444,4.8,14.8,10,12.3,1.4,2.6,15.7,7.7,0,0,0.1,0.046,-1.9,2.8,0.9,0.1,
Pat Spencer,28,GSW,PG,8,0,63,19.4,0.684,0.12,0.12,8.6,11.4,9.9,18.6,2.4,0,18.6,22.6,0.1,0.1,0.2,0.131,-0.2,2,1.8,0.1,
Taurean Prince,30,MIL,SF,5,2,61,1.6,0.3,0.9,0,0,10.1,4.7,16.8,1.6,1.6,33.3,10.9,-0.2,0,-0.1,-0.111,-6.4,-0.4,-6.8,-0.1,
Jarred Vanderbilt,25,LAL,PF,5,0,60,8.9,0.451,0.167,0.667,7.9,28.3,18.4,12.1,2.6,1.6,27.9,8.4,0,0.1,0.1,0.068,-4.2,3.4,-0.7,0,
Duncan Robinson,30,MIA,SF,4,0,59,0.4,0.539,0.857,0.286,0,8.7,4,2.5,0,0,27.6,17.1,-0.1,-0.1,-0.3,-0.228,-7.3,-4.3,-11.6,-0.1,
Jericho Sims,26,MIL,C,5,0,58,13.7,0.956,0,0.5,20.6,19.1,19.9,2.4,0,1.7,40.6,9.4,0.1,0,0.1,0.088,-1.6,-1.8,-3.3,0,
Terrence Shannon Jr.,24,MIN,SG,9,0,57,22.2,0.635,0.296,0.444,2.1,18.2,10.2,8.9,3.5,0,8.5,26.8,0.2,0.1,0.3,0.229,0.5,3.5,4,0.1,
Jalen Pickett,25,DEN,SG,8,0,57,1.4,0.433,0.6,0,0,13.3,6.7,12.5,0,1.6,28.6,15.9,-0.2,0,-0.1,-0.122,-5.4,-2.7,-8.1,-0.1,
Paul Reed,25,DET,C,5,0,53,14.8,0.658,0,0.75,15.7,16.7,16.2,2.8,4.7,4.7,32,12.7,0,0.1,0.1,0.12,-2.2,4.3,2,0.1,
Pelle Larsson,23,MIA,SG,4,0,52,12.9,0.613,0.533,0.2,4.3,17.2,10.3,12.8,1,0,10.9,16.4,0.1,-0.1,0,-0.024,-0.9,0.4,-0.5,0,
Cole Anthony,24,ORL,PG,5,0,51,-4.4,0.349,0.429,0.286,6.3,10.1,8,17.7,0,2,36.3,22.2,-0.3,0,-0.3,-0.276,-13.4,-3,-16.4,-0.2,
Delon Wright,32,NYK,PG,6,0,48,7.7,0.354,0.667,0.222,2.4,2.5,2.4,13.5,3.1,2.1,9.2,9.9,0,0,0,0.025,-1.8,2.1,0.3,0,
Caleb Houstan,22,ORL,SF,5,0,47,-4.1,0.214,0.714,0,4.6,5.5,5,3,0,2.2,12.5,15.6,-0.2,0,-0.2,-0.215,-9,-3.6,-12.6,-0.1,
Dillon Jones,23,OKC,SF,10,0,46,19.2,0.968,0.364,0.182,7,14.3,10.6,16.6,1.1,2.2,33.6,16.5,0.1,0.1,0.2,0.179,3.4,4,7.5,0.1,
Ben Simmons,28,LAC,PG,5,0,42,5.5,0.333,0,0,8.3,11.4,9.8,12,1.2,8.2,25,8.8,0,0,0,0.017,-7.4,4.5,-2.9,0,
Javonte Green,31,CLE,SG,6,0,39,16.8,0.593,0.5,0.6,2.8,24.2,13.1,6.8,5.1,0,13.7,16.1,0.1,0.1,0.1,0.164,-1.9,4.4,2.4,0,
Kevin Knox,25,GSW,SF,5,0,38,14.4,0.473,0.3,0.25,8.5,12.6,10.5,18.9,0,2.4,8.3,28.1,0,0,0,0.026,0.3,-2.5,-2.1,0,
Vince Williams Jr.,24,MEM,SG,3,0,38,16.1,0.888,1,0.286,2.9,16.1,9.8,16.3,2.5,2.3,27.6,11.9,0.1,0,0.1,0.131,3.9,4.5,8.4,0.1,
DeAndre Jordan,36,DEN,C,7,0,36,4.3,0.63,0,1.333,3.1,24,13.7,7.8,0,2.5,29.6,8.1,0,0,0,0.004,-6.8,1,-5.8,0,
Johnny Furphy,20,IND,SG,11,0,35,-0.8,0.225,0.5,0.25,3.5,15.6,9.9,3.5,0,2.6,18.4,6.9,-0.1,0,0,-0.057,-8.5,-0.3,-8.8,-0.1,
Craig Porter Jr.,24,CLE,PG,6,0,35,21.8,0.5,0.25,0,9.4,10.1,9.8,37.8,4.3,5.8,14.3,17.1,0.1,0.1,0.1,0.202,3,5.4,8.4,0.1,
Precious Achiuwa,25,NYK,C,8,0,34,11.2,0.444,0.071,0.286,10,20.9,15.3,0,1.5,0,6,21.4,0,0,0,0.007,-3,-1.7,-4.7,0,
Zeke Nnaji,24,DEN,PF,6,0,34,3.8,0.316,0.75,0.875,9.8,12.7,11.2,7.7,1.5,5.4,15.3,16.6,-0.1,0,0,-0.068,-5.8,-0.7,-6.5,0,
Ron Holland,19,DET,SF,5,0,34,-0.6,0.479,0.6,2,10.5,9.7,10.1,0,0,2.4,39,19.5,-0.1,0,-0.1,-0.14,-10.1,-2.6,-12.7,-0.1,
Ousmane Dieng,21,OKC,C,9,0,32,16.2,0.643,0.7,0.2,0,13.7,6.8,12.9,0,3.1,0,14.4,0.1,0,0.1,0.202,4.9,1.3,6.3,0.1,
Jordan Goodwin,26,LAL,PG,4,0,31,1.8,0.255,0.4,0.4,7.7,11,9.4,9.4,1.7,3.1,14.5,10.4,-0.1,0,0,-0.05,-9.1,0.3,-8.8,-0.1,
Jaxson Hayes,24,LAL,C,4,4,31,6.2,0.394,0,0.25,19.2,11,15,5.2,0,3.1,10.1,14.9,0,0,0,0.002,-7.7,-3,-10.7,-0.1,
Jaylon Tyson,22,CLE,SG,4,0,31,32.8,0.68,0.6,0.4,10.6,15.2,12.9,36.1,3.2,3.3,10.2,27.1,0.2,0.1,0.3,0.406,10.3,5.4,15.6,0.1,
Hunter Tyson,24,DEN,PF,5,0,30,21,0.638,0.5,0.4,14.7,14.4,14.6,10.7,1.7,0,7.8,18.4,0.1,0,0.1,0.21,4.1,-0.1,4,0,
Ryan Rollins,22,MIL,PG,3,1,30,7.4,0.385,0.538,0,3.6,4.1,3.8,19.6,1.7,0,0,19.2,0,0,0,-0.021,-2.6,-1.3,-4,0,
Tristan Thompson,33,CLE,C,3,0,29,13.5,0.478,0,0.5,7.6,52.9,29.4,4.6,1.7,7,21.5,13.8,0,0.1,0,0.067,-3.3,2.5,-0.9,0,
Jaylen Clark,23,MIN,SG,5,0,28,20.3,0.814,0.2,0.8,8.4,20.5,14.6,5.3,3.6,0,12.9,12,0.1,0,0.1,0.237,0.8,6.1,6.8,0.1,
Marvin Bagley III,25,MEM,PF,2,0,28,23.5,0.944,0.111,0,7.9,14.6,11.4,0,3.4,3.2,25,17.9,0,0,0.1,0.117,3.7,5.4,9.2,0.1,
Aaron Holiday,28,HOU,PG,3,0,27,10.4,0.51,0.5,0.4,4.2,4.1,4.1,18,0,0,7.8,20.9,0,0,0,0.059,-2.2,-4,-6.2,0,
Braxton Key,27,GSW,SF,5,0,23,2,0.125,0.125,0,23.5,20.8,22.2,6,4.4,8,27.3,21.1,-0.2,0.1,-0.1,-0.215,-10.3,0.2,-10,0,
Josh Minott,22,MIN,SF,5,0,23,-2,0.313,0.75,0,0,0,0,11.8,0,4.3,20,18.8,-0.1,0,-0.1,-0.181,-7.8,-2.7,-10.4,0,
Baylor Scheierman,24,BOS,SG,4,0,22,2.7,0.4,0.5,0,5.3,14.8,10.2,0,0,0,9.1,22.8,-0.1,0,0,-0.08,-6.3,-3.3,-9.6,0,
Torrey Craig,34,BOS,SF,5,0,21,17.4,0.75,0.75,0,11.1,15.5,13.4,21.6,2.5,0,20,10.9,0.1,0,0.1,0.238,4.2,4.4,8.6,0.1,
Luka Garza,26,MIN,C,5,0,19,31.7,1.083,0.167,0,18.6,0,9.2,0,0,0,0,13.7,0.1,0,0.1,0.294,11.1,0,11.1,0.1,
Jaime Jaquez Jr.,23,MIA,SF,3,0,19,3.5,0.291,0.333,0.333,17.6,6.7,12.6,7.5,0,0,12.7,19.3,0,0,-0.1,-0.236,-5,-5.8,-10.8,0,
Isaiah Stewart,23,DET,C,1,0,19,8.3,0.5,0,0,6.3,23.2,15.1,7.3,0,8.8,0,4.5,0,0,0.1,0.13,-5.8,3,-2.8,0,
James Johnson,37,IND,PF,5,0,18,17.8,0.595,0.2,0.4,0,6.1,3.2,16.5,5.4,10.2,14.5,16.9,0,0,0,0.133,-1.5,8.2,6.7,0,
Jay Huff,26,MEM,C,2,0,18,20.4,0.694,0.25,1,6.1,11.3,8.8,8.7,0,14.7,14.8,15.7,0,0,0.1,0.162,4.1,5,9.2,0.1,
Rob Dillingham,20,MIN,PG,3,0,16,21.1,0.45,0.25,0.25,0,14.4,7.3,68.9,0,0,0,24.1,0.1,0,0.1,0.23,5.3,1.1,6.4,0,
Jordan Walsh,20,BOS,PF,5,0,15,0.4,0,1,0,0,7.2,3.7,8.8,0,0,0,3,0,0,0,-0.007,-4.6,-0.3,-5,0,
Kobe Brown,25,LAC,PF,3,0,15,49.9,0.948,0.125,0.125,0,8,3.9,70.6,0,0,0,26.1,0.2,0,0.2,0.554,20.7,8.7,29.4,0.1,
Alec Burks,33,MIA,SG,1,1,15,20.8,1,1,0,0,17.1,8,21.4,0,0,0,9.3,0.1,0,0,0.149,8.7,1,9.8,0,
Pat Connaughton,32,MIL,SG,3,0,14,-1,0.338,0.5,0.25,0,17.6,8.2,10.7,0,0,10.1,31.3,-0.1,0,-0.1,-0.285,-8.9,-6.7,-15.6,0,
Kyle Anderson,31,MIA,SF,2,0,14,-7.4,0,0,0,0,9.1,4.3,9.5,0,0,33.3,10,-0.1,0,-0.1,-0.344,-11.9,-4.4,-16.2,-0.1,
JD Davison,22,BOS,PG,4,0,13,-0.9,0.225,0.25,0.25,9,16.7,13,33.9,0,0,10.1,34.7,-0.1,0,-0.1,-0.281,-7.8,-6.6,-14.4,0,
Neemias Queta,25,BOS,C,4,0,13,40.9,0.833,0,0,17.9,0,8.6,41.2,4,0,0,21.1,0.1,0,0.1,0.498,11.7,6.4,18.1,0.1,
Cam Christie,19,LAC,SG,3,0,13,15,0.833,0.667,0,0,18.4,9.1,0,4,0,25,14.3,0,0,0,0.064,-1,3.9,2.9,0,
Drew Eubanks,27,LAC,C,3,0,13,2.8,0.431,0,3,0,9.2,4.5,0,0,0,0,16.5,0,0,0,-0.018,-8.9,-3.3,-12.3,0,
Jordan Miller,25,LAC,SF,3,0,13,32.2,0.444,0.143,0.286,0,18.4,9.1,50.1,12,0,0,28.1,0,0,0.1,0.248,3,11.6,14.6,0.1,
Leonard Miller,21,MIN,SF,3,0,13,39.8,0.813,0.125,0,27.2,17.7,22.4,0,0,0,11.1,30,0.1,0,0.1,0.281,10.8,-1.3,9.6,0,
Chuma Okeke,26,CLE,PF,3,0,13,7.1,0.375,1,0,0,0,0,9.9,3.8,0,0,13.2,0,0,0,0.035,-2.1,0.3,-1.8,0,
Lamar Stevens,27,MEM,PF,2,0,12,-7.3,0.222,0.333,0,0,34,17.7,14.3,0,0,10,34.8,-0.1,0,-0.1,-0.461,-10.1,-3.3,-13.3,0,
Goga Bitadze,25,ORL,C,3,0,11,9,1,0,0,0,35.2,16,14,0,9.3,0,4.2,0,0,0,0.191,-10.7,6.3,-4.4,0,
Vlatko Čančar,27,DEN,PF,3,0,11,-6.9,,,,0,19.6,9.9,0,0,0,100,7.9,-0.1,0,-0.1,-0.243,-10.2,-3.2,-13.4,0,
Reed Sheppard,20,HOU,PG,3,0,10,4.3,0,1,0,0,10.9,5.6,13.1,10.3,11,33.3,13.3,-0.1,0,0,-0.116,-7.8,9.1,1.3,0,
Keshad Johnson,23,MIA,SF,2,0,8,6.3,1,0,0,14,0,7.5,0,0,0,50,11.6,0,0,0,-0.142,-6.5,-3.5,-10,0,
Xavier Tillman Sr.,26,BOS,C,1,0,8,3.7,0.25,0.5,0,14.5,27.1,21.1,0,0,0,0,22.8,0,0,0,-0.117,-5.2,-4,-9.2,0,
Tyler Kolek,23,NYK,PG,3,0,6,38.7,1.5,1,0,0,19.7,9.6,77.6,0,0,0,7.2,0.1,0,0.1,0.648,17.4,5.6,23.1,0,
Jeff Green,38,HOU,PF,3,0,5,17.9,0.5,0.333,0,22.6,0,11.1,0,0,0,0,26.6,0,0,0,0.117,6.4,-7.1,-0.7,0,
Ariel Hukporti,22,NYK,C,3,0,5,29.2,0.694,0,1,0,47.3,23.1,0,0,0,0,25,0,0,0,0.085,9.5,1.8,11.3,0,
Cam Whitmore,20,HOU,SF,3,0,5,-12.9,0,0.5,0,0,21.9,11.1,0,0,0,0,17.7,0,0,0,-0.357,-14,-7.2,-21.2,0,
Nate Williams,25,HOU,SG,3,0,5,-21.6,0,1,0,0,0,0,0,0,0,50,17.7,-0.1,0,-0.1,-0.493,-22.2,-7.7,-29.9,0,
Tristan Da Silva,23,ORL,SF,2,0,5,-11.8,0,1,0,0,100,46.8,27,0,0,66.7,27.4,-0.1,0,-0.1,-0.629,-22.2,-0.5,-22.6,0,
Andre Jackson Jr.,23,MIL,SG,2,0,5,-7.6,0,1,0,0,0,0,0,0,0,0,8.9,0,0,0,-0.24,-11.2,-6.9,-18.1,0,
Chris Livingston,21,MIL,SF,2,0,5,-4.9,0,1,0,0,24.6,11.5,0,0,0,0,8.9,0,0,0,-0.219,-11.3,-5.4,-16.6,0,
Maxi Kleber,33,LAL,PF,1,0,5,-4.4,0.532,1,2,0,0,0,0,0,0,34.7,26.9,0,0,0,-0.233,-12.2,-6.5,-18.6,0,
Jock Landale,29,HOU,C,1,0,5,8.3,0.5,0,0,0,0,0,0,0,0,0,17.7,0,0,0,0.007,-3.3,-6.2,-9.5,0,
Pacôme Dadiet,19,NYK,SG,2,0,4,19.8,1,0,0,0,0,0,0,0,0,0,10.9,0,0,0,0.19,3.9,0.1,4,0,
Bronny James,20,LAL,SG,2,0,4,-19.8,0,1,0,0,0,0,0,0,0,0,23.4,0,0,0,-0.587,-21.1,-11.4,-32.5,0,
Dalton Knecht,23,LAL,SF,2,0,4,45.4,0.5,0.8,0,59.4,28.3,43.5,0,0,0,0,58.4,0,0,0,0.208,27.4,-9.2,18.2,0,
Alex Len,31,LAL,C,2,0,4,23.2,0,0,0,89.1,28.3,58,0,0,0,0,11.7,0,0,0,0.167,7.9,-16.4,-8.5,0,
Shake Milton,28,LAL,SG,2,0,4,-13.9,0,0,0,0,0,0,0,0,0,0,11.7,0,0,0,-0.303,-19.8,-6.3,-26.1,0,
Jett Howard,21,ORL,SF,1,0,4,61.8,1.5,1,0,0,0,0,0,0,0,0,22.8,0,0,0,0.319,38.1,9.4,47.5,0,
Patty Mills,36,LAC,PG,1,0,4,4.6,0.75,0.5,0,0,0,0,0,0,0,33.3,34.7,0,0,0,-0.227,-4.6,-2.9,-7.5,0,
P.J. Tucker,39,NYK,SF,1,0,4,-3.9,,,,0,0,0,0,0,0,,0,0,0,0,-0.002,-8.6,2.2,-6.4,0,
League Average,,,,,,,,0.566,0.411,0.278,5.2,14.8,10,15,1.6,2,12,19.8,,,,,,,,,
