Player,Age,Team,Pos,G,GS,MP,MPG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,Awards
Mike Conley,37,MIN,PG,15,15,356,23.73333333,8.9,0.442,0.625,0.135,4,10.3,7.2,19,1.3,0.8,10.6,13.8,0.2,0.3,0.5,0.061,-2,0.1,-1.9,0,11108880,0,0,1,0,0,0
Al Horford,38,BOS,C,11,9,348,31.63636364,12.3,0.586,0.486,0.097,6,15,10.7,8.7,1.1,3.7,8.5,10.8,0.5,0.5,1.1,0.145,0.3,2.4,2.7,0.4,6127080,1,0,0,0,0,0
Buddy Hield,32,GSW,SG,12,9,327,27.25,14.7,0.572,0.616,0.112,6,8.8,7.3,10.6,2.2,1.4,9,19.4,0.4,0.3,0.7,0.105,2.2,1.1,3.3,0.4,10015680,0,0,0,0,1,0
Jayson Tatum,26,BOS,PF,8,8,322,40.25,24.1,0.566,0.446,0.309,3.3,28,16,25.3,2.8,1.7,11.6,31.9,0.6,0.8,1.4,0.202,5.4,3.2,8.6,0.9,54126450,0,1,0,0,0,1
Nickeil Alexander-Walker,26,MIN,SG,15,0,310,20.66666667,9.5,0.519,0.558,0.15,3,7,5.1,16.6,1,1.6,16,20.1,0,0.2,0.2,0.028,-1.2,-0.2,-1.4,0,16666667,0,0,0,0,1,0
Aaron Wiggins,26,OKC,SG,22,0,303,13.77272727,11.8,0.522,0.58,0.143,5,13,9,9.5,1.6,2,11.8,20.1,0,0.4,0.4,0.071,-0.5,0.6,0.1,0.2,10739683,0,0,0,0,1,0
Payton Pritchard,27,BOS,PG,11,0,302,27.45454545,13.4,0.615,0.677,0.172,3.5,5.8,4.6,9.2,1,0,7.8,17.5,0.6,0.3,0.9,0.137,1.5,-0.6,0.9,0.2,7863240,0,0,1,0,0,1
Donovan Mitchell,28,CLE,SG,9,9,288,32,27.5,0.57,0.433,0.459,4.2,12.7,8.3,22,2.9,1.1,6.8,37.2,1,0.4,1.4,0.228,6.5,1.4,7.9,0.7,46394100,0,0,0,0,1,1
Stephen Curry,36,GSW,PG,8,8,281,35.125,20,0.636,0.615,0.215,0.8,17,8.5,26.7,1.5,2,15.9,26.6,0.5,0.3,0.8,0.131,5.4,1,6.4,0.6,59606817,0,0,1,0,0,1
Fred VanVleet,30,HOU,PG,7,7,280,40,16,0.632,0.667,0.258,1.2,10.2,5.8,17.8,1.3,0.8,11.2,18.4,0.7,0.2,0.9,0.158,1.9,1.2,3.2,0.4,25000000,0,0,1,0,0,0
James Harden,35,LAC,PG,7,7,276,39.42857143,18.6,0.567,0.436,0.327,1.7,14.7,8.1,33.8,1.7,2.2,15.4,22.9,0.5,0.2,0.7,0.122,2.5,1.5,4.1,0.4,39182693,0,0,1,0,0,1
Kawhi Leonard,33,LAC,SF,7,7,265,37.85714286,24.3,0.63,0.301,0.293,4.8,19,11.8,20.9,1.6,1.6,9.8,26.9,0.8,0.2,1,0.185,5,2.1,7,0.6,50000000,0,0,0,1,0,0
Jrue Holiday,34,BOS,PG,8,8,264,33,10.8,0.578,0.433,0.217,5.3,8.6,7,18.7,1.4,0.3,19.6,14.1,0.2,0.3,0.6,0.1,-1.6,1.5,-0.1,0.1,33654814,0,0,1,0,0,0
Jarrett Allen,26,CLE,C,9,9,261,29,22.4,0.792,0,0.574,8.8,24.9,16.6,6.7,2.5,3.1,18.2,15.3,0.9,0.4,1.3,0.239,2.4,2.2,4.7,0.4,28000000,1,0,0,0,0,0
