Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,2025-26
114,Klay Thompson,34,DAL,SF,72,72,27.3,5,12.2,0.412,3,7.7,0.391,2,4.5,0.448,0.535,0.9,1,0.905,0.6,2.8,3.4,2,0.7,0.4,1.2,1.1,14,0,thompkl01,16666667
168,Nikola Jovi?,21,MIA,PF,46,10,25.1,3.7,8.2,0.456,1.7,4.6,0.371,2,3.6,0.563,0.56,1.6,1.9,0.828,0.6,3.3,3.9,2.8,0.8,0.3,1.3,1.8,10.7,0,jovicni01,16200000
165,Bogdan Bogdanovi?,32,2TM,SG,54,4,25,3.9,9.1,0.427,1.9,5.4,0.363,1.9,3.8,0.517,0.534,1.1,1.2,0.879,0.4,2.5,2.9,2.7,0.8,0.2,1.4,2.4,10.8,0,bogdabo01,16020000
209,Max Strus,28,CLE,SF,50,37,25.5,3.3,7.5,0.442,2.3,5.9,0.386,1,1.6,0.65,0.594,0.6,0.7,0.824,1.1,3.3,4.3,3.2,0.5,0.2,1.1,2.1,9.4,0,strusma01,15936452
269,Terance Mann,28,2TM,SG,67,13,21.1,3.1,6.2,0.496,0.9,2.4,0.368,2.2,3.7,0.58,0.569,0.7,1,0.691,1,2,3,1.8,0.7,0.2,0.7,1.9,7.7,0,mannte01,15500000
11,Paolo Banchero,22,ORL,PF,46,46,34.4,9,19.8,0.452,1.9,5.9,0.32,7.1,13.9,0.509,0.5,6.1,8.4,0.727,1.1,6.4,7.5,4.8,0.8,0.6,3,2.1,25.9,0,banchpa01,15334769
206,Nickeil Alexander-Walker,26,MIN,SG,82,10,25.3,3.3,7.5,0.438,1.7,4.5,0.381,1.6,3,0.524,0.553,1.1,1.4,0.78,0.7,2.6,3.2,2.7,0.6,0.4,1.2,1.7,9.4,0,alexani01,15161800
119,Onyeka Okongwu,24,ATL,C,74,40,27.9,5.2,9.2,0.567,0.6,2,0.324,4.6,7.2,0.634,0.602,2.2,2.9,0.759,3,5.9,8.9,2.3,0.9,0.9,1.2,2.6,13.4,0,okongon01,15000000
344,Isaiah Stewart,23,DET,C,72,4,19.9,2.4,4.4,0.559,0.2,0.7,0.321,2.2,3.6,0.607,0.586,0.9,1.2,0.759,1.8,3.7,5.5,1.7,0.4,1.4,0.9,2.5,6,0,stewais01,15000000
365,Jonathan Isaac,27,ORL,PF,71,1,15.4,1.9,4.6,0.414,0.5,2.1,0.258,1.3,2.4,0.549,0.474,1,1.5,0.682,1.7,2.7,4.4,0.6,0.9,1.1,0.5,1.3,5.4,0,isaacjo01,15000000
