Player,Age,Team,Pos,G,GS,MP,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,
Davion Mitchell,26,MIA,PG,4,3,142,35.5,6.3,10.4,0.61,1.8,3.5,0.5,4.6,6.8,0.667,0.695,0.8,1.8,0.429,0.5,1.8,2.3,6.3,0.8,0.3,2,2.8,15.2,,
Jaylin Williams,22,OKC,PF,17,0,141,8.294117647,3.8,8.9,0.429,2.3,6.4,0.36,1.5,2.6,0.6,0.557,1.5,2.8,0.545,1,7.1,8.2,4.3,2,0.5,3.1,7.9,11.5,,
Desmond Bane,26,MEM,SG,4,4,139,34.75,5.2,16.3,0.317,1.8,8.3,0.219,3.4,8,0.419,0.373,3.6,3.9,0.933,1.3,5.7,7,3.4,0.8,0.5,3.9,2.3,15.8,,
Kenrich Williams,30,OKC,PF,16,0,137,8.5625,4.2,10.5,0.4,1.1,5.3,0.2,3.2,5.3,0.6,0.45,0.8,1.6,0.5,2.1,7.1,9.2,1.8,1.8,0.3,1.8,1.6,10.2,,
Jaren Jackson Jr.,25,MEM,C,4,4,137,34.25,5.8,15.2,0.379,0.8,2.9,0.273,5,12.4,0.404,0.405,4.5,5.3,0.85,2.4,2.9,5.3,1.6,1.1,0.5,2.9,3.7,16.8,,
Ausar Thompson,22,DET,SF,6,6,135,22.5,6.4,11.2,0.571,0,0.5,0,6.4,10.7,0.6,0.571,5.6,9.6,0.583,2.1,6.1,8.3,1.6,1.9,1.3,2.9,6.7,18.4,,
A.J. Green,25,MIL,SG,5,1,135,27,4.8,10.4,0.462,4.8,9.3,0.514,0,1.1,0,0.692,0.3,0.5,0.5,0.5,3.2,3.7,2.7,0,0.3,0,3.5,14.7,,
Tari Eason,23,HOU,PF,7,0,132,18.85714286,5.7,12,0.477,1.9,5.2,0.368,3.8,6.8,0.56,0.557,1.1,2.2,0.5,1.9,6.3,8.2,1.4,2.2,1.9,2.7,3.5,14.5,,
Derrick Jones Jr.,27,LAC,SF,7,1,129,18.42857143,5.9,13.4,0.438,1.7,5.6,0.3,4.2,7.8,0.536,0.5,0.8,2.2,0.375,1.4,2.2,3.6,0.6,1.1,2.5,0.8,0.8,14.2,,
Scotty Pippen Jr.,24,MEM,PG,4,4,129,32.25,6.1,16.2,0.379,2.8,7.8,0.357,3.3,8.4,0.4,0.466,5.3,5.3,1,1.1,5,6.1,3.9,1.1,0.3,3.9,5.3,20.4,,
Isaac Okoro,24,CLE,SG,9,0,128,14.22222222,4.2,8.4,0.5,1.7,4.5,0.375,2.5,3.9,0.643,0.6,1.4,2.3,0.625,1.1,2,3.1,1.4,1.7,0.3,1.1,3.7,11.5,,
Cory Joseph,33,ORL,PG,5,5,124,24.8,2.9,7,0.417,1.5,4.6,0.313,1.5,2.3,0.625,0.521,0,0,,0.3,2.3,2.6,4.4,1.5,0.6,0.6,2.9,7.3,,
Santi Aldama,24,MEM,PF,4,1,122,30.5,6.2,13,0.477,3,7.1,0.417,3.2,5.9,0.55,0.591,0,0,,0.6,6.5,7.1,2.1,0,0.3,1.5,2.1,15.3,,
Andrew Wiggins,29,MIA,SF,4,4,122,30.5,4.7,12.7,0.372,2.1,5.9,0.35,2.7,6.8,0.391,0.453,2.1,3,0.7,1.2,2.7,3.8,2.7,0.3,1.5,3.2,1.8,13.6,,
Kevon Looney,28,GSW,C,12,0,120,10,3,6.9,0.435,0,0,,3,6.9,0.435,0.435,1.8,2.4,0.75,5.1,7.8,12.9,1.2,1.5,1.2,0.6,8.1,7.8,,
Jarace Walker,21,IND,PF,12,0,117,9.75,4,10.5,0.382,2.5,6.2,0.4,1.5,4.3,0.357,0.5,0.6,1.2,0.5,0.6,5.8,6.5,2.5,0.6,0.6,2.2,3.1,11.1,,
Bogdan Bogdanović,32,LAC,SG,7,0,117,16.71428571,4.9,13.5,0.364,2.2,7.4,0.292,2.8,6.2,0.45,0.443,1.8,2.2,0.857,1.5,4.6,6.2,4.6,0.9,0,3.4,7.7,13.8,,
Sam Hauser,27,BOS,PF,8,0,108,13.5,3.3,8,0.417,2.3,7,0.333,1,1,1,0.563,0.3,0.3,1,0,4,4,1.3,0.3,0.3,1,3.7,9.3,,
Zach Edey,22,MEM,C,4,4,108,27,3.3,5,0.667,0,0,,3.3,5,0.667,0.667,1.7,2.3,0.714,3.7,6.7,10.3,2.3,0,3.3,2,4,8.3,,
Cameron Payne,30,NYK,PG,14,0,102,7.285714286,4.2,13.1,0.324,1.8,7.4,0.238,2.5,5.6,0.438,0.392,0.4,1.1,0.333,0,2.8,2.8,3.2,1.8,0.4,2.5,7.8,10.6,,
Kyle Kuzma,29,MIL,PF,5,4,102,20.4,4.2,12.4,0.343,0.7,3.5,0.2,3.5,8.8,0.4,0.371,1.1,2.1,0.5,1.1,2.8,3.9,1.4,0,0.4,1.1,4.2,10.2,,
