Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,,Salary
315,Andre Drummond,31,PHI,C,40,23,751,117,234,0.5,3,20,0.15,114,214,0.533,0.506,56,90,0.622,109,201,310,34,39,18,55,94,293,0,,,5500000
322,Jaylin Williams,22,OKC,PF,47,9,784,97,221,0.439,61,153,0.399,36,68,0.529,0.577,23,30,0.767,48,214,262,120,22,29,35,79,278,3,,,8781000
326,Lonzo Ball,27,CHI,PG,35,14,777,89,243,0.366,67,195,0.344,22,48,0.458,0.504,22,27,0.815,25,93,118,115,47,17,41,55,267,0,,,10200000
346,Steven Adams,31,HOU,C,58,3,794,91,167,0.545,0,2,0,91,165,0.552,0.545,43,93,0.462,166,161,327,66,22,28,54,60,225,0,,,15000000
350,Pat Connaughton,32,MIL,SG,41,1,603,83,177,0.469,26,81,0.321,57,96,0.594,0.542,24,31,0.774,19,90,109,70,9,11,24,45,216,0,,,10044644
353,Herbert Jones,26,NOP,SF,20,20,648,75,172,0.436,22,72,0.306,53,100,0.53,0.5,33,40,0.825,22,56,78,65,37,9,35,66,205,0,,,14104000
365,Zeke Nnaji,24,DEN,PF,57,4,608,70,141,0.496,17,52,0.327,53,89,0.596,0.557,27,44,0.614,33,57,90,23,25,38,14,62,184,0,,,8399983
366,Paul Reed,25,DET,C,45,0,438,72,142,0.507,8,28,0.286,64,114,0.561,0.535,32,42,0.762,40,83,123,44,39,25,26,75,184,0,,,5685000
367,Tre Mann,23,CHO,PG,13,0,319,70,161,0.435,24,60,0.4,46,101,0.455,0.509,19,21,0.905,12,26,38,39,7,4,25,24,183,0,,,8333333
375,Grant Williams,26,CHO,PF,16,7,479,54,123,0.439,27,74,0.365,27,49,0.551,0.549,31,37,0.838,18,64,82,37,18,13,28,46,166,0,,,13825920
384,Jevon Carter,29,CHI,PG,36,1,321,55,146,0.377,35,105,0.333,20,41,0.488,0.497,8,10,0.8,4,35,39,40,13,3,11,15,153,0,,,7520040
392,Jarred Vanderbilt,25,LAL,PF,36,2,581,59,121,0.488,9,32,0.281,50,89,0.562,0.525,20,36,0.556,68,114,182,41,35,10,29,67,147,0,,,11990000
396,Ousmane Dieng,21,OKC,C,37,1,405,54,125,0.432,23,71,0.324,31,54,0.574,0.524,11,16,0.688,18,63,81,31,17,7,18,33,142,0,,,7275600
